Title,DateText,Date,Link,Image,Summary,Source,Category,DateParsed,DateISO
"Construction goes Circular®2027, Lahti, Finland (12.10.2027 - 12.10.2027)",12.10.2027,2027-10-12 00:00:00,https://www.peikko.com/event/construction-goes-circular-2027/,https://media.peikko.com/file/dl/c=system_640x/EHFGow/98am0MjWcjQq5FjrFfWDpA/ConstructionGoesCircularlogo.jpg?fv=0229,,Peikko,Events,2027-10-12 00:00:00+00:00,2027-10-12
"CVU 2026 International Conference, Dubai (05.10.2026 - 09.10.2026)",05.10.2026,2026-10-05 00:00:00,https://www.peikko.com/event/cvu-2026-international-conference/,https://media.peikko.com/file/dl/c=system_640x/p2qwgw/sk-rWxILIIaan7D2IZV4_Q/CUV_Logo.jpg?fv=b125,,Peikko,Events,2026-10-05 00:00:00+00:00,2026-10-05
"BIBM Congress 2026, Rome (20.05.2026 - 22.05.2026)",20.05.2026,2026-05-20 00:00:00,https://www.peikko.com/event/bibm-congress-2026/,https://media.peikko.com/file/dl/c=system_640x/UQ_kkg/AZNw5Jm4od2_wVjacmigrA/Logo_BIBM_congress_ROME_26-300x72.jpg?fv=8e70,,Peikko,Events,2026-05-20 00:00:00+00:00,2026-05-20
"ÖBV Baukongress 2026, Austria Center, Vienna (23.04.2026 - 24.04.2026)",23.04.2026,2026-04-23 00:00:00,https://www.peikko.com/event/obv-baukongress-2026/,https://media.peikko.com/pub/Content%20Tool/Events/Baukongress_2026-1.jpg?c=system_640x&fv=134a,,Peikko,Events,2026-04-23 00:00:00+00:00,2026-04-23
"GIC 2026, Piacenza, Italy (16.04.2026 - 18.04.2026)",16.04.2026,2026-04-16 00:00:00,https://www.peikko.com/event/gic-2026/,https://media.peikko.com/file/dl/c=system_640x/k-3xmQ/G7pXCw4NmGpRd9IAZ65CoA/GIC_2024_logo.jpg?fv=4f49,,Peikko,Events,2026-04-16 00:00:00+00:00,2026-04-16
"REBUILD. The leading innovation event for building industry, Madrid, Spain (24.03.2026 - 26.03.2026)",24.03.2026,2026-03-24 00:00:00,https://www.peikko.com/event/rebuild-the-leading-innovation-event-for-building-industry/,https://media.peikko.com/file/dl/c=system_640x/FETUCw/caY0qkG2SHxLLC6n7Q9yVg/logorebuild_2020_.jpg?fv=dc66,,Peikko,Events,2026-03-24 00:00:00+00:00,2026-03-24
"70th BetonTage, Congress Centrum Ulm (10.03.2026 - 12.03.2026)",10.03.2026,2026-03-10 00:00:00,https://www.peikko.com/event/70th-betontage/,https://media.peikko.com/pub/Content%20Tool/Events/BetonTage_2026_-_EN.jpg?c=system_640x&fv=9879,,Peikko,Events,2026-03-10 00:00:00+00:00,2026-03-10
From design challenges to verified solutions: How Peikko Designer®supports your projects,16.02.2026,,https://www.peikko.com/news/from-design-challenges-to-verified-solutions-how-peikko-designer-r-supports-your-projects/,https://media.peikko.com/file/dl/c=news-and-events/Uq1bJA/WYNnR5GB1Z_Z4V8PZxsWgA/Peikko_Designer_2280x870px_news_header.jpg?fv=a028,,Peikko,Stories,2026-02-16 00:00:00+00:00,2026-02-16
The SHED Berlin: How prestressed concrete slabs and DELTABEAM®delivered a massive project on time,09.02.2026,,https://www.peikko.com/news/the-shed-berlin-how-prestressed-concrete-slabs-and-deltabeam-r-delivered-a-massive-project-on-time/,https://media.peikko.com/file/dl/c=system_640x/hItx1Q/0CXPK_xbdW9MVMMNqb8lxQ/Peikko_Shed_2280x870px_news_header.jpg?fv=ee3c,,Peikko,Stories,2026-02-09 00:00:00+00:00,2026-02-09
Upgrade in Special Civil Engineering: SAS 670/800 Micropiles Now Deliver More Power with Less Weight!,2026-02-03,2026-02-03,https://translate.google.com/translate?hl=en&sl=de&u=https%3A%2F%2Fwww.annahuette.com%2Fupgrade-in-special-civil-engineering-sas-670-800-micropiles-now-deliver-more-power-with-less-weight%2F,https://www.annahuette.com/wp-content/uploads/2026/02/Innen-3-1024x576.jpg,,SAH Annahutte,,2026-02-03 00:00:00+00:00,2026-02-03
Employee Spotlight: Crissy Kline – Celebrating 20 Years,2026-02,2026-02-01 00:00:00,https://www.williamsform.com/insights/general-news/employee-spotlight-crissy-kline-celebrating-20-years/,https://www.williamsform.com/wp-content/uploads/2026/02/Headshot1-800x800.jpg,,Williams Form,,2026-02-01 00:00:00+00:00,2026-02-01
PCI Convention start date February 2 end date February 6,February 2026,February 2026,https://www.splicesleeve.com/events,https://www.splicesleeve.com/hs-fs/hubfs/PCI%20Convention%202026a.png?width=152&height=110&name=PCI%20Convention%202026a.png,PCI Convention,nmb splice sleeve,,2026-02-01 00:00:00+00:00,2026-02-01
PCMA start date February 12 end date February 13,February 2026,February 2026,https://www.splicesleeve.com/events,https://www.splicesleeve.com/hs-fs/hubfs/Logo%20Test%202/PCMA%20Logo%20Size-10.png?width=100&height=110&name=PCMA%20Logo%20Size-10.png,PCMA,nmb splice sleeve,,2026-02-01 00:00:00+00:00,2026-02-01
The Precast Show start date February 4 end date February 6,February 2026,February 2026,https://www.splicesleeve.com/events,https://www.splicesleeve.com/hs-fs/hubfs/TPS%20Exhibitor%20Booth%20Logo_Full%20Color-1.png?width=226&height=110&name=TPS%20Exhibitor%20Booth%20Logo_Full%20Color-1.png,The Precast Show,nmb splice sleeve,,2026-02-01 00:00:00+00:00,2026-02-01
