Site,Status,ArticlesFound
Ancon,success,9
nVent LENTON,success,11
Dywidag,success,12
Anker Schroeder,success,15
SAH Annahutte,"error: HTTPConnectionPool(host='localhost', port=48077): Read timed out. (read timeout=120)",0
Moment,success,45
Macalloy,success,20
Williams Form,success,10
FiReP Minova,success,0
MST Bar,"error: Playwright is required. Install with:
  pip install playwright
  playwright install",0
Mateenbar Pultron,success,23
nmb splice sleeve,success,8
linxion,success,6
peikko,success,37
